"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"2077","song roar lion roar that resembles and i love song roar i like you songs katty perryufeff"
"2078","like if u can travel through time to watch coz u liked different peoples year if u get what i meanufeff"
"2079","like if ur watching in stone age and wandering what that giant white thing isufeff"
"2080","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"2081","the interview mentioned kate as kim j un favorite pop itune ufeff"
"2082","ufeff"
"2083","your the best girl in the world fufueubfufueubfufueuaufeff"
"2084","i so love the animals apparently so does she first female artist ive admitted to liking since i first heard otep shamaya perfect body and shes beautiful then add in her talent and you have the sexiest woman in the world imo anywayufeff"
"2085","i love katy perry ufeff"
"2086","i liked this video and her boobs but i wish shed taken her bra offufeff"
"2087","muy buena canción me encanta hasta horita asido una de las mejores que oído o también es por que estoy aburrida xd ufeff"
"2088","yall are so stupid she is not a qeen shes just a mily cires wanna beufeff"
"2089","i guess this is a pickmeup song ufeff"
"2090","roar is great ever katy perryufeff"
"2091","i love your song katy perry rorarufeff"
"2092","what is wrong with your legsufeff"
"2093","the set for this video is just wowufeff"
"2094","soy salbaje y peligrosaufeff"
"2095","ubucdeufuaueubueuebudubcucufudueudeuuufeff"
"2096","i love this song so much and yes im watching it in and will watch it in actually until ill die thump up if you feel the sameufeff"
